iter	Passed	Remaining
0	138	138566
1	142	70972
2	143	47694
3	145	36188
4	147	29310
5	148	24556
6	149	21162
7	150	18622
8	151	16654
9	152	15066
10	154	13909
11	156	12920
12	157	11989
13	159	11251
14	161	10575
15	162	9966
16	163	9428
17	163	8944
18	164	8509
19	165	8124
20	167	7809
21	168	7493
22	169	7200
23	170	6933
24	171	6693
25	172	6478
26	173	6266
27	174	6066
28	175	5880
29	176	5709
30	177	5555
31	180	5463
32	181	5330
33	183	5213
34	184	5087
35	185	4976
36	186	4858
37	187	4746
38	188	4643
39	189	4554
40	191	4481
41	193	4424
42	195	4355
43	197	4285
44	198	4209
45	199	4140
46	200	4070
47	201	4002
48	202	3938
49	205	3896
50	206	3845
51	208	3810
52	210	3763
53	211	3713
54	213	3660
55	213	3606
56	214	3554
57	215	3507
58	216	3460
59	218	3425
60	219	3383
61	221	3345
62	223	3326
63	225	3302
64	227	3267
65	228	3239
66	230	3208
67	231	3173
68	232	3137
69	233	3102
70	234	3072
71	236	3043
72	237	3012
73	238	2981
74	239	2951
75	240	2919
76	241	2890
77	242	2862
78	243	2837
79	244	2810
80	245	2784
81	246	2759
82	247	2729
83	248	2705
84	249	2681
85	250	2660
86	251	2638
87	252	2620
88	253	2597
89	254	2576
90	256	2557
91	257	2539
92	258	2522
93	259	2504
94	260	2484
95	261	2463
96	262	2442
97	263	2422
98	264	2403
99	265	2390
100	266	2374
101	267	2358
102	269	2343
103	270	2329
104	271	2314
105	272	2297
106	273	2281
107	274	2264
108	275	2249
109	276	2234
110	277	2220
111	281	2230
112	282	2219
113	283	2205
114	284	2191
115	285	2176
116	286	2161
117	287	2147
118	288	2132
119	288	2119
120	290	2107
121	291	2095
122	292	2082
123	292	2069
124	294	2059
125	295	2047
126	295	2033
127	296	2022
128	297	2011
129	298	1999
130	299	1987
131	300	1976
132	301	1968
133	302	1957
134	304	1948
135	304	1937
136	305	1925
137	306	1913
138	307	1902
139	308	1893
140	309	1884
141	309	1872
142	310	1861
143	311	1851
144	312	1841
145	312	1830
146	313	1821
147	314	1811
148	316	1805
149	316	1796
150	318	1789
151	319	1783
152	320	1773
153	321	1765
154	322	1755
155	323	1748
156	324	1740
157	325	1732
158	325	1723
159	326	1716
160	327	1706
161	328	1698
162	329	1690
163	330	1682
164	330	1674
165	331	1666
166	333	1661
167	333	1653
168	334	1645
169	335	1638
170	336	1630
171	337	1625
172	338	1618
173	339	1611
174	340	1604
175	340	1596
176	341	1588
177	342	1581
178	343	1574
179	344	1567
180	344	1559
181	345	1552
182	346	1544
183	346	1537
184	347	1530
185	348	1523
186	348	1516
187	349	1510
188	350	1504
189	351	1498
190	352	1493
191	353	1488
192	354	1483
193	358	1488
194	359	1482
195	360	1477
196	361	1472
197	362	1466
198	362	1460
199	363	1453
